bug#	Dev#	Effort	jdt	jface	core	swt	ui	debug	ltk	text	jdi	search	compare	other
51262	18	127.67	0.983	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.017
52673	18	2.00	0.983	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.017
56731	4	21.33	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
69170	9	45.33	0.977	0.000	0.023	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
69180	11	1.00	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
69251	12	21.00	0.973	0.000	0.027	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
69288	6	7.00	0.977	0.000	0.023	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
69308	13	24.00	0.909	0.030	0.030	0.000	0.000	0.000	0.000	0.030	0.000	0.000	0.000	0.000
69320	17	114.67	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
69349	15	8.00	0.950	0.000	0.050	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
69351	14	132.00	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
69353	19	1.00	0.953	0.000	0.047	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
69359	20	56.00	0.983	0.000	0.017	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
69375	6	10.67	0.846	0.000	0.154	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
69542	19	23.67	0.984	0.000	0.016	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
69598	5	270.67	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
69713	7	8.00	0.889	0.000	0.111	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
70611	18	60.00	0.973	0.000	0.027	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
70616	19	1.00	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
70618	14	1.00	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
70656	14	40.00	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
70717	18	5.00	0.973	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.027
70767	19	27.33	0.961	0.000	0.039	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
70969	13	13.33	0.962	0.000	0.038	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
70975	19	1.00	0.882	0.000	0.118	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
70984	18	1.00	0.953	0.000	0.037	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.009
71007	18	1.00	0.953	0.000	0.037	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.009
71579	15	30.67	0.000	0.176	0.118	0.059	0.588	0.059	0.000	0.000	0.000	0.000	0.000	0.000
71672	18	2.00	0.958	0.000	0.036	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.006
71702	5	48.00	0.980	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.020
71705	1	1.00	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
71852	5	33.33	0.860	0.000	0.140	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
