bug#	Dev#	Effort	jdt	jface	core	swt	ui	debug	ltk	text	jdi	search	compare	other
76932	11	146.67	0.280	0.000	0.400	0.000	0.000	0.240	0.080	0.000	0.000	0.000	0.000	0.000
76960	3	114.67	0.188	0.000	0.375	0.000	0.000	0.375	0.000	0.000	0.000	0.000	0.000	0.063
77093	10	192.00	0.769	0.000	0.222	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.009
77184	5	177.33	0.969	0.000	0.031	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
77222	17	93.33	0.732	0.120	0.099	0.035	0.014	0.000	0.000	0.000	0.000	0.000	0.000	0.000
77653	20	46.33	0.697	0.077	0.051	0.060	0.009	0.000	0.077	0.026	0.000	0.000	0.000	0.004
77680	4	69.33	0.470	0.000	0.348	0.000	0.000	0.182	0.000	0.000	0.000	0.000	0.000	0.000
77716	16	332.33	0.918	0.000	0.020	0.000	0.000	0.000	0.061	0.000	0.000	0.000	0.000	0.000
77730	15	40.00	0.087	0.304	0.261	0.087	0.217	0.043	0.000	0.000	0.000	0.000	0.000	0.000
77765	20	132.67	0.778	0.029	0.068	0.000	0.000	0.000	0.092	0.029	0.000	0.000	0.000	0.005
77770	3	264.00	0.500	0.000	0.417	0.000	0.000	0.083	0.000	0.000	0.000	0.000	0.000	0.000
77771	9	32.00	0.259	0.138	0.276	0.034	0.155	0.138	0.000	0.000	0.000	0.000	0.000	0.000
77788	3	46.33	0.000	0.356	0.067	0.511	0.067	0.000	0.000	0.000	0.000	0.000	0.000	0.000
77798	7	43.67	0.509	0.066	0.085	0.038	0.066	0.236	0.000	0.000	0.000	0.000	0.000	0.000
77806	18	172.33	0.952	0.000	0.048	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
77808	12	97.33	0.938	0.000	0.062	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
77849	17	313.33	0.333	0.051	0.436	0.154	0.026	0.000	0.000	0.000	0.000	0.000	0.000	0.000
77901	16	36.00	0.421	0.105	0.000	0.316	0.132	0.000	0.026	0.000	0.000	0.000	0.000	0.000
77938	20	31.33	0.697	0.077	0.051	0.060	0.009	0.000	0.077	0.026	0.000	0.000	0.000	0.004
77950	20	118.67	0.778	0.029	0.068	0.000	0.000	0.000	0.092	0.029	0.000	0.000	0.000	0.005
77955	14	101.33	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
77968	5	47.00	0.955	0.000	0.038	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.006
78008	19	43.00	0.852	0.000	0.148	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
78015	19	37.33	0.941	0.000	0.059	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
78018	10	35.00	0.974	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.026
78049	19	5.00	0.917	0.000	0.083	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
78051	2	118.67	0.300	0.367	0.000	0.067	0.267	0.000	0.000	0.000	0.000	0.000	0.000	0.000
78053	16	233.33	0.407	0.173	0.053	0.086	0.267	0.000	0.000	0.000	0.000	0.008	0.000	0.004
78056	14	83.00	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
78057	12	121.33	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
78075	14	77.33	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
78082	10	73.33	0.769	0.000	0.231	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
78087	12	149.67	0.900	0.000	0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
78847	4	132.00	0.132	0.123	0.123	0.175	0.079	0.368	0.000	0.000	0.000	0.000	0.000	0.000
78853	11	14.67	0.241	0.037	0.093	0.019	0.037	0.185	0.000	0.000	0.389	0.000	0.000	0.000
80579	12	1.00	0.962	0.000	0.038	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
80597	18	2.00	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
80672	18	3.00	0.879	0.000	0.121	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
80673	6	55.33	0.391	0.130	0.304	0.000	0.174	0.000	0.000	0.000	0.000	0.000	0.000	0.000
80699	18	1.00	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
80714	5	1.00	0.986	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.014
80739	14	47.00	0.978	0.000	0.022	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
81317	18	1.00	0.547	0.000	0.453	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
81329	20	8.00	0.667	0.167	0.028	0.028	0.111	0.000	0.000	0.000	0.000	0.000	0.000	0.000
81372	6	6.00	0.407	0.186	0.054	0.072	0.272	0.000	0.000	0.000	0.000	0.006	0.000	0.003
