bug#	Dev#	Effort	jdt	jface	core	swt	ui	debug	ltk	text	jdi	search	compare	other
76932	11	146.67	0.280	0.000	0.400	0.000	0.000	0.240	0.080	0.000	0.000	0.000	0.000	0.000
76960	3	114.67	0.188	0.000	0.375	0.000	0.000	0.375	0.000	0.000	0.000	0.000	0.000	0.063
77093	10	192.00	0.769	0.000	0.222	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.009
77184	5	177.33	0.969	0.000	0.031	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
77222	17	93.33	0.732	0.120	0.099	0.035	0.014	0.000	0.000	0.000	0.000	0.000	0.000	0.000
77272	14	213.33	0.987	0.000	0.013	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
77388	10	190.67	0.783	0.000	0.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.017
77398	18	119.33	0.906	0.000	0.094	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
77422	19	60.67	0.893	0.000	0.107	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
77439	20	59.00	0.820	0.027	0.051	0.000	0.000	0.000	0.075	0.021	0.000	0.000	0.000	0.005
77440	20	132.00	0.791	0.022	0.044	0.000	0.000	0.000	0.121	0.016	0.000	0.000	0.000	0.005
77461	20	48.00	0.647	0.103	0.045	0.096	0.014	0.000	0.072	0.021	0.000	0.000	0.000	0.003
77510	10	61.33	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
77562	14	141.00	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
77573	5	58.67	0.951	0.000	0.049	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
77577	16	46.67	0.705	0.008	0.152	0.000	0.000	0.000	0.127	0.008	0.000	0.000	0.000	0.000
77586	17	323.67	0.388	0.165	0.153	0.188	0.106	0.000	0.000	0.000	0.000	0.000	0.000	0.000
77596	20	271.67	0.771	0.038	0.057	0.000	0.000	0.000	0.089	0.038	0.000	0.000	0.000	0.006
77599	1	98.67	0.384	0.058	0.163	0.023	0.023	0.000	0.000	0.000	0.000	0.000	0.337	0.012
77602	10	55.33	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
77609	20	55.00	0.771	0.038	0.057	0.000	0.000	0.000	0.089	0.038	0.000	0.000	0.000	0.006
77612	20	1.00	0.771	0.038	0.057	0.000	0.000	0.000	0.089	0.038	0.000	0.000	0.000	0.006
77615	20	300.00	0.866	0.000	0.045	0.000	0.000	0.000	0.067	0.017	0.000	0.000	0.000	0.006
77618	20	54.33	0.801	0.005	0.039	0.053	0.010	0.000	0.073	0.015	0.000	0.000	0.000	0.005
77620	20	41.33	0.867	0.000	0.058	0.000	0.000	0.000	0.058	0.013	0.000	0.000	0.000	0.004
77621	2	156.00	0.655	0.103	0.103	0.000	0.034	0.000	0.000	0.000	0.000	0.103	0.000	0.000
77622	16	122.67	0.734	0.000	0.068	0.000	0.000	0.000	0.169	0.017	0.000	0.000	0.000	0.011
77623	20	1.00	0.866	0.000	0.045	0.000	0.000	0.000	0.067	0.017	0.000	0.000	0.000	0.006
77625	20	1.00	0.866	0.000	0.045	0.000	0.000	0.000	0.067	0.017	0.000	0.000	0.000	0.006
77630	14	118.67	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
77631	20	46.67	0.697	0.077	0.051	0.060	0.009	0.000	0.077	0.026	0.000	0.000	0.000	0.004
77635	20	46.67	0.697	0.077	0.051	0.060	0.009	0.000	0.077	0.026	0.000	0.000	0.000	0.004
77644	10	56.00	0.925	0.000	0.075	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
77645	18	328.00	0.960	0.000	0.040	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
77649	6	321.33	0.000	0.000	0.667	0.000	0.000	0.000	0.333	0.000	0.000	0.000	0.000	0.000
77653	20	46.33	0.697	0.077	0.051	0.060	0.009	0.000	0.077	0.026	0.000	0.000	0.000	0.004
77680	4	69.33	0.470	0.000	0.348	0.000	0.000	0.182	0.000	0.000	0.000	0.000	0.000	0.000
77716	16	332.33	0.918	0.000	0.020	0.000	0.000	0.000	0.061	0.000	0.000	0.000	0.000	0.000
77730	15	40.00	0.087	0.304	0.261	0.087	0.217	0.043	0.000	0.000	0.000	0.000	0.000	0.000
77765	20	132.67	0.778	0.029	0.068	0.000	0.000	0.000	0.092	0.029	0.000	0.000	0.000	0.005
77770	3	264.00	0.500	0.000	0.417	0.000	0.000	0.083	0.000	0.000	0.000	0.000	0.000	0.000
77771	9	32.00	0.259	0.138	0.276	0.034	0.155	0.138	0.000	0.000	0.000	0.000	0.000	0.000
77788	3	46.33	0.000	0.356	0.067	0.511	0.067	0.000	0.000	0.000	0.000	0.000	0.000	0.000
77798	7	43.67	0.509	0.066	0.085	0.038	0.066	0.236	0.000	0.000	0.000	0.000	0.000	0.000
77806	18	172.33	0.952	0.000	0.048	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
77808	12	97.33	0.938	0.000	0.062	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
77849	17	313.33	0.333	0.051	0.436	0.154	0.026	0.000	0.000	0.000	0.000	0.000	0.000	0.000
77901	16	36.00	0.421	0.105	0.000	0.316	0.132	0.000	0.026	0.000	0.000	0.000	0.000	0.000
77938	20	31.33	0.697	0.077	0.051	0.060	0.009	0.000	0.077	0.026	0.000	0.000	0.000	0.004
77950	20	118.67	0.778	0.029	0.068	0.000	0.000	0.000	0.092	0.029	0.000	0.000	0.000	0.005
77955	14	101.33	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
77968	5	47.00	0.955	0.000	0.038	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.006
78008	19	43.00	0.852	0.000	0.148	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
78015	19	37.33	0.941	0.000	0.059	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
78018	10	35.00	0.974	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.026
78049	19	5.00	0.917	0.000	0.083	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
78051	2	118.67	0.300	0.367	0.000	0.067	0.267	0.000	0.000	0.000	0.000	0.000	0.000	0.000
78053	16	233.33	0.407	0.173	0.053	0.086	0.267	0.000	0.000	0.000	0.000	0.008	0.000	0.004
78056	14	83.00	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
78057	12	121.33	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
78075	14	77.33	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
78082	10	73.33	0.769	0.000	0.231	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
78087	12	149.67	0.900	0.000	0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
78089	18	1.00	0.976	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.024
78094	15	1.00	0.357	0.500	0.024	0.048	0.048	0.024	0.000	0.000	0.000	0.000	0.000	0.000
78131	17	149.00	0.974	0.016	0.010	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
78139	19	5.00	0.867	0.000	0.133	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
78159	9	73.33	0.220	0.150	0.150	0.200	0.220	0.060	0.000	0.000	0.000	0.000	0.000	0.000
78183	18	140.00	0.931	0.000	0.069	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
78188	10	70.00	0.640	0.000	0.258	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.101
78189	10	70.00	0.640	0.000	0.258	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.101
