bug#	Dev#	Effort	Prof 1	Prof 2	Prof 3	Prof 4	Prof 5	Prof 6	Prof 7	Prof 8	Prof 9	Prof 10	Prof 11	Prof 12
32329	1	468.63	223.05	0.00	44.61	0.00	44.61	44.61	44.61	22.30	22.30	0.00	0.00	22.54
40407	75	209.08	87.12	0.00	17.42	0.00	17.42	17.42	17.42	8.71	8.71	0.00	0.00	34.85
40501	32	188.89	75.56	0.00	15.11	0.00	15.11	15.11	15.11	7.56	7.56	0.00	0.00	37.78
40754	17	200.31	93.40	0.00	18.68	0.00	18.68	18.68	18.68	9.34	9.34	0.00	0.00	13.52
40784	13	180.71	75.29	0.00	15.06	0.00	15.06	15.06	15.06	7.53	7.53	0.00	0.00	30.12
40850	75	652.07	315.17	0.00	63.03	0.00	63.03	63.03	63.03	31.52	31.52	0.00	0.00	21.74
41128	13	170.05	72.88	0.00	14.58	0.00	14.58	14.58	14.58	7.29	7.29	0.00	24.29	0.00
41410	20	184.74	85.65	0.00	17.13	0.00	17.13	17.13	17.13	8.57	8.57	0.00	13.44	0.00
41510	14	158.95	68.12	0.00	13.62	0.00	13.62	13.62	13.62	6.81	6.81	0.00	22.71	0.00
41591	15	151.08	56.66	0.00	11.33	0.00	11.33	11.33	11.33	5.67	5.67	0.00	37.77	0.00
41794	39	140.37	62.39	0.00	12.48	0.00	12.48	12.48	12.48	6.24	6.24	0.00	15.60	0.00
42616	46	209.13	83.65	0.00	16.73	0.00	16.73	16.73	16.73	8.37	8.37	0.00	41.83	0.00
42858	75	154.30	66.13	0.00	13.23	0.00	13.23	13.23	13.23	6.61	6.61	0.00	22.04	0.00
42945	78	153.31	70.76	0.00	14.15	0.00	14.15	14.15	14.15	7.08	7.08	0.00	11.79	0.00
42995	75	606.39	227.40	0.00	45.48	0.00	45.48	45.48	45.48	22.74	22.74	0.00	151.60	0.00
44125	15	104.52	52.26	0.00	10.45	0.00	10.45	10.45	10.45	5.23	5.23	0.00	0.00	0.00
44491	32	99.17	49.59	0.00	9.92	0.00	9.92	9.92	9.92	4.96	4.96	0.00	0.00	0.00
44995	32	94.42	47.21	0.00	9.44	0.00	9.44	9.44	9.44	4.72	4.72	0.00	0.00	0.00
45460	59	89.65	44.82	0.00	8.96	0.00	8.96	8.96	8.96	4.48	4.48	0.00	0.00	0.00
45603	15	71.24	35.62	0.00	7.12	0.00	7.12	7.12	7.12	3.56	3.56	0.00	0.00	0.00
45705	56	89.18	44.59	0.00	8.92	0.00	8.92	8.92	8.92	4.46	4.46	0.00	0.00	0.00
45915	14	70.72	35.36	0.00	7.07	0.00	7.07	7.07	7.07	3.54	3.54	0.00	0.00	0.00
45923	15	59.04	29.52	0.00	5.90	0.00	5.90	5.90	5.90	2.95	2.95	0.00	0.00	0.00
46862	25	64.88	32.44	0.00	6.49	0.00	6.49	6.49	6.49	3.24	3.24	0.00	0.00	0.00
47260	75	428.84	214.42	0.00	42.88	0.00	42.88	42.88	42.88	21.44	21.44	0.00	0.00	0.00
47265	78	68.23	34.11	0.00	6.82	0.00	6.82	6.82	6.82	3.41	3.41	0.00	0.00	0.00
47333	40	66.30	33.15	0.00	6.63	0.00	6.63	6.63	6.63	3.31	3.31	0.00	0.00	0.00
48378	15	23.75	11.87	0.00	2.37	0.00	2.37	2.37	2.37	1.19	1.19	0.00	0.00	0.00
48653	30	33.13	16.56	0.00	3.31	0.00	3.31	3.31	3.31	1.66	1.66	0.00	0.00	0.00
48690	59	52.98	26.49	0.00	5.30	0.00	5.30	5.30	5.30	2.65	2.65	0.00	0.00	0.00
48803	14	19.53	9.76	0.00	1.95	0.00	1.95	1.95	1.95	0.98	0.98	0.00	0.00	0.00
48836	20	56.26	28.13	0.00	5.63	0.00	5.63	5.63	5.63	2.81	2.81	0.00	0.00	0.00
48865	59	55.24	27.62	0.00	5.52	0.00	5.52	5.52	5.52	2.76	2.76	0.00	0.00	0.00
50564	46	62.71	31.35	0.00	6.27	0.00	6.27	6.27	6.27	3.14	3.14	0.00	0.00	0.00
50565	1	14.49	7.25	0.00	1.45	0.00	1.45	1.45	1.45	0.72	0.72	0.00	0.00	0.00
50568	56	14.80	7.40	0.00	1.48	0.00	1.48	1.48	1.48	0.74	0.74	0.00	0.00	0.00
50573	75	27.77	13.88	0.00	2.78	0.00	2.78	2.78	2.78	1.39	1.39	0.00	0.00	0.00
50575	23	0.90	0.45	0.00	0.09	0.00	0.09	0.09	0.09	0.05	0.05	0.00	0.00	0.00
50611	59	15.89	7.95	0.00	1.59	0.00	1.59	1.59	1.59	0.79	0.79	0.00	0.00	0.00
50653	23	0.69	0.35	0.00	0.07	0.00	0.07	0.07	0.07	0.03	0.03	0.00	0.00	0.00
50680	3	4.80	2.40	0.00	0.48	0.00	0.48	0.48	0.48	0.24	0.24	0.00	0.00	0.00
50702	78	14.05	7.03	0.00	1.41	0.00	1.41	1.41	1.41	0.70	0.70	0.00	0.00	0.00
50734	3	6.56	3.28	0.00	0.66	0.00	0.66	0.66	0.66	0.33	0.33	0.00	0.00	0.00
50740	75	13.97	6.99	0.00	1.40	0.00	1.40	1.40	1.40	0.70	0.70	0.00	0.00	0.00
50778	30	0.79	0.39	0.00	0.08	0.00	0.08	0.08	0.08	0.04	0.04	0.00	0.00	0.00
50795	15	1.44	0.72	0.00	0.14	0.00	0.14	0.14	0.14	0.07	0.07	0.00	0.00	0.00
50798	39	13.01	6.51	0.00	1.30	0.00	1.30	1.30	1.30	0.65	0.65	0.00	0.00	0.00
50941	73	9.05	4.52	0.00	0.90	0.00	0.90	0.90	0.90	0.45	0.45	0.00	0.00	0.00
50949	39	19.03	9.52	0.00	1.90	0.00	1.90	1.90	1.90	0.95	0.95	0.00	0.00	0.00
50979	46	54.73	27.37	0.00	5.47	0.00	5.47	5.47	5.47	2.74	2.74	0.00	0.00	0.00
51081	30	2.26	1.13	0.00	0.23	0.00	0.23	0.23	0.23	0.11	0.11	0.00	0.00	0.00
51110	46	56.41	28.21	0.00	5.64	0.00	5.64	5.64	5.64	2.82	2.82	0.00	0.00	0.00
51182	25	5.13	2.56	0.00	0.51	0.00	0.51	0.51	0.51	0.26	0.26	0.00	0.00	0.00
51298	14	25.93	12.96	0.00	2.59	0.00	2.59	2.59	2.59	1.30	1.30	0.00	0.00	0.00
51319	7	1.73	0.86	0.00	0.17	0.00	0.17	0.17	0.17	0.09	0.09	0.00	0.00	0.00
51332	32	1.01	0.50	0.00	0.10	0.00	0.10	0.10	0.10	0.05	0.05	0.00	0.00	0.00
51395	56	1.85	0.92	0.00	0.18	0.00	0.18	0.18	0.18	0.09	0.09	0.00	0.00	0.00
51437	21	0.33	0.17	0.00	0.03	0.00	0.03	0.03	0.03	0.02	0.02	0.00	0.00	0.00
51470	71	317.49	158.75	0.00	31.75	0.00	31.75	31.75	31.75	15.87	15.87	0.00	0.00	0.00
51665	20	0.97	0.49	0.00	0.10	0.00	0.10	0.10	0.10	0.05	0.05	0.00	0.00	0.00
51672	49	0.03	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
51775	3	0.79	0.39	0.00	0.08	0.00	0.08	0.08	0.08	0.04	0.04	0.00	0.00	0.00
51803	15	0.10	0.05	0.00	0.01	0.00	0.01	0.01	0.01	0.00	0.00	0.00	0.00	0.00
51811	13	4.31	2.15	0.00	0.43	0.00	0.43	0.43	0.43	0.22	0.22	0.00	0.00	0.00
51882	7	0.11	0.05	0.00	0.01	0.00	0.01	0.01	0.01	0.01	0.01	0.00	0.00	0.00
