bug#	Dev#	Effort	Prof 1	Prof 2	Prof 3	Prof 4	Prof 5	Prof 6	Prof 7	Prof 8	Prof 9	Prof 10	Prof 11	Prof 12
38573	49	94.18	35.32	0.00	7.06	0.00	7.06	7.06	7.06	3.53	3.53	0.00	0.00	23.55
39145	33	84.01	33.61	0.00	6.72	0.00	6.72	6.72	6.72	3.36	3.36	0.00	0.00	16.80
39250	14	282.47	105.93	0.00	21.19	0.00	21.19	21.19	21.19	10.59	10.59	0.00	0.00	70.62
39294	14	79.10	29.66	0.00	5.93	0.00	5.93	5.93	5.93	2.97	2.97	0.00	0.00	19.78
39295	14	82.72	31.02	0.00	6.20	0.00	6.20	6.20	6.20	3.10	3.10	0.00	0.00	20.68
39309	25	79.12	29.67	0.00	5.93	0.00	5.93	5.93	5.93	2.97	2.97	0.00	0.00	19.78
39498	17	252.17	108.07	0.00	21.61	0.00	21.61	21.61	21.61	10.81	10.81	0.00	0.00	36.02
39812	33	77.17	28.94	0.00	5.79	0.00	5.79	5.79	5.79	2.89	2.89	0.00	0.00	19.29
40269	14	71.91	29.96	0.00	5.99	0.00	5.99	5.99	5.99	3.00	3.00	0.00	0.00	11.99
40387	40	119.80	51.34	0.00	10.27	0.00	10.27	10.27	10.27	5.13	5.13	0.00	0.00	17.11
40500	23	72.93	24.31	0.00	4.86	0.00	4.86	4.86	4.86	2.43	2.43	0.00	0.00	24.31
40518	25	72.61	27.23	0.00	5.45	0.00	5.45	5.45	5.45	2.72	2.72	0.00	0.00	18.15
40579	25	76.41	28.66	0.00	5.73	0.00	5.73	5.73	5.73	2.87	2.87	0.00	0.00	19.10
40583	11	84.10	35.04	0.00	7.01	0.00	7.01	7.01	7.01	3.50	3.50	0.00	0.00	14.02
40609	14	71.27	26.73	0.00	5.35	0.00	5.35	5.35	5.35	2.67	2.67	0.00	0.00	17.82
40772	25	48.93	24.21	0.00	4.84	0.00	4.84	4.84	4.84	2.42	2.42	0.00	0.00	0.52
40789	40	69.89	30.58	0.00	6.12	0.00	6.12	6.12	6.12	3.06	3.06	0.00	0.00	8.74
40790	40	69.88	32.01	0.00	6.40	0.00	6.40	6.40	6.40	3.20	3.20	0.00	0.00	5.86
40863	32	46.16	17.31	0.00	3.46	0.00	3.46	3.46	3.46	1.73	1.73	0.00	0.00	11.54
41633	32	16.54	6.20	0.00	1.24	0.00	1.24	1.24	1.24	0.62	0.62	0.00	4.14	0.00
41985	56	7.13	3.17	0.00	0.63	0.00	0.63	0.63	0.63	0.32	0.32	0.00	0.79	0.00
41997	15	13.28	5.53	0.00	1.11	0.00	1.11	1.11	1.11	0.55	0.55	0.00	2.21	0.00
41998	23	8.01	3.34	0.00	0.67	0.00	0.67	0.67	0.67	0.33	0.33	0.00	1.33	0.00
42004	49	34.97	14.99	0.00	3.00	0.00	3.00	3.00	3.00	1.50	1.50	0.00	5.00	0.00
42020	15	7.08	3.15	0.00	0.63	0.00	0.63	0.63	0.63	0.31	0.31	0.00	0.79	0.00
42063	14	22.53	10.01	0.00	2.00	0.00	2.00	2.00	2.00	1.00	1.00	0.00	2.50	0.00
42064	14	6.54	3.12	0.00	0.62	0.00	0.62	0.62	0.62	0.31	0.31	0.00	0.30	0.00
42129	23	4.88	2.36	0.00	0.47	0.00	0.47	0.47	0.47	0.24	0.24	0.00	0.16	0.00
42779	15	1.05	0.49	0.00	0.10	0.00	0.10	0.10	0.10	0.05	0.05	0.00	0.07	0.00
42808	23	0.26	0.09	0.00	0.02	0.00	0.02	0.02	0.02	0.01	0.01	0.00	0.09	0.00
43367	75	599.08	256.75	0.00	51.35	0.00	51.35	51.35	51.35	25.67	25.67	0.00	85.58	0.00
43455	39	0.02	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
43458	39	10.46	5.23	0.00	1.05	0.00	1.05	1.05	1.05	0.52	0.52	0.00	0.00	0.00
43459	39	11.96	5.98	0.00	1.20	0.00	1.20	1.20	1.20	0.60	0.60	0.00	0.00	0.00
43462	56	2.19	1.09	0.00	0.22	0.00	0.22	0.22	0.22	0.11	0.11	0.00	0.00	0.00
43463	56	5.01	2.50	0.00	0.50	0.00	0.50	0.50	0.50	0.25	0.25	0.00	0.00	0.00
43465	20	6.29	3.15	0.00	0.63	0.00	0.63	0.63	0.63	0.31	0.31	0.00	0.00	0.00
43469	33	0.51	0.26	0.00	0.05	0.00	0.05	0.05	0.05	0.03	0.03	0.00	0.00	0.00
43477	15	2.80	1.40	0.00	0.28	0.00	0.28	0.28	0.28	0.14	0.14	0.00	0.00	0.00
43510	56	2.02	1.01	0.00	0.20	0.00	0.20	0.20	0.20	0.10	0.10	0.00	0.00	0.00
43522	32	1.53	0.76	0.00	0.15	0.00	0.15	0.15	0.15	0.08	0.08	0.00	0.00	0.00
44165	30	3.42	1.71	0.00	0.34	0.00	0.34	0.34	0.34	0.17	0.17	0.00	0.00	0.00
44299	39	2.05	1.03	0.00	0.21	0.00	0.21	0.21	0.21	0.10	0.10	0.00	0.00	0.00
44383	25	2.11	1.05	0.00	0.21	0.00	0.21	0.21	0.21	0.11	0.11	0.00	0.00	0.00
44423	39	5.84	2.92	0.00	0.58	0.00	0.58	0.58	0.58	0.29	0.29	0.00	0.00	0.00
44476	30	6.66	3.33	0.00	0.67	0.00	0.67	0.67	0.67	0.33	0.33	0.00	0.00	0.00
44524	11	1.12	0.56	0.00	0.11	0.00	0.11	0.11	0.11	0.06	0.06	0.00	0.00	0.00
