bug#	Dev#	Effort	jdt	jface	core	swt	ui	debug	ltk	text	jdi	search	compare	other
51262	18	127.67	0.983	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.017
52673	18	2.00	0.983	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.017
56731	4	21.33	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
58461	18	1.00	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
58715	19	8.00	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
58979	3	17.33	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
59641	19	2.00	0.961	0.000	0.039	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
59723	2	1.00	0.900	0.000	0.100	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
59983	19	4.00	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
60563	7	60.00	0.976	0.000	0.024	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
60681	19	59.33	0.956	0.000	0.044	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
62292	18	3.00	0.933	0.000	0.044	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.022
63555	9	8.00	0.933	0.000	0.067	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
63556	18	22.00	0.933	0.000	0.044	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.022
63590	19	5.00	0.974	0.000	0.026	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
65503	8	123.33	0.974	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.026
65870	18	18.67	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
65943	12	198.67	0.556	0.000	0.444	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
66204	15	448.00	0.393	0.054	0.125	0.321	0.036	0.071	0.000	0.000	0.000	0.000	0.000	0.000
66570	5	494.00	0.938	0.000	0.063	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
66908	5	458.67	0.938	0.000	0.063	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
67790	18	425.33	0.958	0.000	0.036	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.006
68006	5	2.00	0.933	0.000	0.044	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.022
68133	18	69.00	0.939	0.000	0.049	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.012
68602	9	36.33	0.952	0.000	0.048	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
68837	18	8.00	0.952	0.000	0.048	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
68862	12	8.00	0.611	0.000	0.389	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
68891	19	8.00	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
68981	5	1.00	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
68998	19	44.00	0.986	0.000	0.011	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.003
69141	13	38.67	0.935	0.000	0.065	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
69170	9	45.33	0.977	0.000	0.023	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
69180	11	1.00	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
