bug#	Dev#	Effort	jdt	jface	core	swt	ui	debug	ltk	text	jdi	search	compare	other
86632	7	89.33	0.679	0.000	0.214	0.000	0.000	0.107	0.000	0.000	0.000	0.000	0.000	0.000
86663	18	1.00	0.944	0.000	0.042	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.014
86682	17	18.67	0.963	0.037	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
86684	16	8.00	0.841	0.000	0.079	0.000	0.000	0.000	0.073	0.000	0.000	0.000	0.000	0.006
86778	6	69.33	0.667	0.000	0.333	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
86779	18	105.33	0.969	0.005	0.020	0.000	0.000	0.000	0.000	0.005	0.000	0.000	0.000	0.000
86815	6	71.67	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
86840	8	191.67	0.636	0.318	0.000	0.000	0.045	0.000	0.000	0.000	0.000	0.000	0.000	0.000
86852	17	136.00	0.743	0.143	0.029	0.029	0.057	0.000	0.000	0.000	0.000	0.000	0.000	0.000
86878	18	19.33	0.964	0.000	0.025	0.000	0.000	0.000	0.000	0.011	0.000	0.000	0.000	0.000
86887	4	125.33	0.638	0.000	0.155	0.000	0.000	0.207	0.000	0.000	0.000	0.000	0.000	0.000
86901	10	4.00	0.874	0.000	0.126	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
86902	19	82.67	0.889	0.000	0.111	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
86906	5	8.00	0.900	0.050	0.050	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
86908	18	49.33	0.908	0.000	0.080	0.000	0.000	0.000	0.000	0.011	0.000	0.000	0.000	0.000
